Question,Answer
What best describes your approach to challenges?,Analytical / Intuitive 
How do you prefer making decisions? ,Planned / Spontaneous 
"In a team setting, do you prefer leading or collaborating?",Leading / Collaborating 
What recharges you more? ,Social interactions / Solitude 
How do you cope with stress?,Reflection / Seeking support 
 Describe your communication style. ,Direct / Diplomatic 
What brings you the most joy? ,Routine and structure / Variety and spontaneity 
Do you prioritize harmony or individuality in relationships? ,Harmony / Individuality 
What values are most important to you? ,Tradition / Innovation 
Describe your work ethic.,Methodical / Flexible
